,GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
Dst,Dst,8797.115296,-0.04066296,0.062995807,-0.645486769,0.51861179,0.64674881,OK
Mir6896,Mir6896,0,NaN,NaN,NaN,NaN,NaN,Low
Mir5103,Mir5103,0.147806762,-0.002900582,0.041486781,-0.069915808,0.944260671,NaN,Low
Ccdc115,Ccdc115,736.7548273,-0.046396268,0.059141277,-0.784498913,0.432747419,0.568308843,OK
Imp4,Imp4,619.3975121,-0.11360276,0.043730009,-2.597821549,0.009381724,0.030156162,OK
Ptpn18,Ptpn18,32.36416123,0.202303527,0.149080148,1.357011848,0.174777446,0.29071118,OK
Prss39,Prss39,0.06322407,-0.013225255,0.030522356,-0.433297335,0.664798774,NaN,Low
Cfc1,Cfc1,0.077522379,-0.016834159,0.030732539,-0.547763376,0.583854389,NaN,Low
Prss40,Prss40,0,NaN,NaN,NaN,NaN,NaN,Low
Amer3,Amer3,162.5381344,-0.107973673,0.07626092,-1.4158454,0.156820774,0.268537278,OK
AA619741,AA619741,0,NaN,NaN,NaN,NaN,NaN,Low
Arhgef4,Arhgef4,50.36584986,-0.007866272,0.118875105,-0.066172577,0.947240429,0.968179628,OK
Fam168b,Fam168b,1468.235555,0.027044965,0.031424654,0.860628912,0.389442457,0.525688096,OK
Plekhb2,Plekhb2,3025.502354,0.154699865,0.031920241,4.846450387,1.26E-06,1.95E-05,OK
Hs6st1,Hs6st1,2560.456708,0.120272117,0.072042623,1.669457769,0.095026693,0.181598154,OK
Uggt1,Uggt1,7396.018555,-0.134910871,0.048337103,-2.791041693,0.00525387,0.019033176,OK
Mir6897,Mir6897,0.022471933,-0.001612519,0.029756493,-0.054190492,0.956783396,NaN,Low
