"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"SRD5A1",4.33312503995631e-08,0.272495122731712,0.57,0.445,0.00265278248071165
"RBP1",4.71592512155482e-08,-0.303309310811184,0.636,0.753,0.00288713651866707
"DYNLL1",4.7272692304388e-08,-0.374769129380447,0.863,0.92,0.00289408149556694
"MYO1D",4.85837598488035e-08,0.252030696397013,0.771,0.701,0.0029743463617036
"RPS27",6.77821923901744e-08,-0.332863520030636,1,0.995,0.00414969360031887
"GSN",6.93639548942674e-08,0.279079346850865,0.955,0.924,0.00424653068258195
"HINT1",1.05169602392088e-07,-0.260751052857287,0.977,0.983,0.00643858822804603
"PFKM",1.06668067214897e-07,0.291739862934702,0.555,0.474,0.00653032574296319
"B2M",1.35689857754018e-07,-0.377108046012117,1,0.998,0.00830706878155871
"PDIA6",1.46819995763609e-07,0.270728272551936,0.721,0.671,0.00898846696064391
"MRPS6",1.49705438761336e-07,-0.272721920965379,0.277,0.41,0.00916511666640777
"LINC-PINT",1.53631085903111e-07,-0.273575425147258,0.445,0.542,0.00940544871007437
"APOL6",1.58753064010156e-07,-0.261234633161871,0.319,0.455,0.00971902133176579
"INTS6",2.0888724274938e-07,-0.319968965201716,0.382,0.536,0.0127882858883598
"RPL12",2.13124453921331e-07,-0.28540272093602,0.986,0.986,0.0130476921935178
"FDFT1",2.40836479412898e-07,0.286120252301036,0.83,0.751,0.014744250106137
"TWSG1",2.46717826302737e-07,-0.298410170082747,0.265,0.388,0.0151043120440799
"IPPK",2.807387646546e-07,-0.326124319870136,0.146,0.057,0.0171871079109192
"MTATP6P1",3.19329443674414e-07,0.311700558608831,0.984,1,0.0195496678711913
"PLD3",3.80710913780936e-07,0.301583492374786,0.819,0.81,0.0233075028525827
"RBBP7",3.98126636119501e-07,0.25123808230987,0.718,0.661,0.024373710789872
"DNAJA1",4.14432129776104e-07,-0.254671600804469,0.875,0.95,0.0253719494170229
"PGRMC1",4.47534924827791e-07,0.255384849494193,0.709,0.631,0.0273985356328822
"BHLHE41",5.62686631753405e-07,0.272107621342425,0.545,0.446,0.0344482382825752
"TRIP11",6.74260997358778e-07,-0.292394619526952,0.715,0.796,0.0412789325193018
"WFS1",6.80753861825509e-07,0.322301933851324,0.618,0.54,0.0416764321748195
"SPAG9",7.10684991918998e-07,-0.311000137182976,0.695,0.777,0.043508845890273
"SYT14",8.65165677702678e-07,-0.421332409570772,0.645,0.747,0.0529663079546357
"FAU",8.9115055442554e-07,-0.337124807965872,0.986,0.983,0.054557128092486
"SPP1",9.6151386621149e-07,-0.288786507032482,0.388,0.533,0.0588648404033336
"H2AFZ",9.98813574796984e-07,-0.312118337470939,0.913,0.938,0.0611483658626461
"CXCL1",1.11684809389766e-06,-0.254794727190436,0.039,0.109,0.0683745571565088
"RPS19",1.14487319647083e-06,-0.260428123691888,0.994,0.998,0.0700902819611408
